iso3.code,year,label,area,source,Q1,Q5,disp,resid,wb.income.2017,gni,urban.prop,region,iso.resid
AFG,2015,Infant and under-5 mortality rates,Afghanistan,DHS,46.49776779,33.43382159,13,urban,Low income,590,0.26703,Asia,urban AFG
AGO,2015,Infant and under-5 mortality rates,Angola,DHS,105.3152807,40.2264929,65,urban,Lower middle income,4070,0.4405,Africa,urban AGO
BEN,2014,Infant and under-5 mortality rates 10 YEARS,Benin,MICS,112.9521325,46.68309319,66,urban,Low income,930,0.43514,Africa,urban BEN
BGD,2014,Infant and under-5 mortality rates,Bangladesh,DHS,53.90109838,18.51937542,35,urban,Lower middle income,1070,0.33516,Asia,urban BGD
CIV,2011,Infant and under-5 mortality rates,Cote d'Ivoire,DHS,126.1095187,66.12860305,60,urban,Lower middle income,1130,0.51305,Africa,urban CIV
CMR,2014,Infant and under-5 mortality rates 10 YEARS,Cameroon,MICS,108.8521544,44.44871315,64,urban,Lower middle income,1380,0.53819,Africa,urban CMR
COD,2013,Infant and under-5 mortality rates,Democratic Republic of Congo,DHS,116.5938398,63.7466899,53,urban,Low income,370,0.41461,Africa,urban COD
COG,2011,Infant and under-5 mortality rates,Congo,DHS,111.9208111,51.2832662,61,urban,Lower middle income,2060,0.63666,Africa,urban COG
COL,2015,Infant and under-5 mortality rates,Colombia,DHS,24.85589136,7.089199608,18,urban,Upper middle income,7140,0.76436,Latin America and the Caribbean,urban COL
DOM,2014,Infant and under-5 mortality rates 10 YEARS,Dominican Republic,MICS,38.33503458,29.11348342,9,urban,Upper middle income,6110,0.78061,Latin America and the Caribbean,urban DOM
EGY,2014,Infant and under-5 mortality rates,Egypt,DHS,28.49605188,21.41404422,7,urban,Lower middle income,3250,0.43069,Africa,urban EGY
ETH,2016,Infant and under-5 mortality rates,Ethiopia,DHS,71.34502682,26.45473413,45,urban,Low income,660,0.19922,Africa,urban ETH
GAB,2012,Infant and under-5 mortality rates,Gabon,DHS,70.28692068,51.38349442,19,urban,Upper middle income,9040,0.86367,Africa,urban GAB
